"state","numcol","yieldpercol","totalprod","stocks","priceperlb","prodvalue","year"
"AL",7000,47,329000,13000,3.83,1260000,2015
"AZ",26000,49,1274000,306000,2.03,2586000,2015
"AR",24000,72,1728000,121000,2.06,3560000,2015
"CA",275000,30,8250000,1485000,2.03,16748000,2015
"CO",29000,51,1479000,399000,2.26,3343000,2015
"FL",220000,54,11880000,832000,1.97,23404000,2015
"GA",69000,40,2760000,221000,2.43,6707000,2015
"HI",14000,102,1428000,71000,1.91,2727000,2015
"ID",89000,32,2848000,1082000,1.93,5497000,2015
"IL",8000,51,408000,155000,4.66,1901000,2015
"IN",6000,53,318000,165000,3.23,1027000,2015
"IA",36000,50,1800000,990000,2.20,3960000,2015
"KS",8000,36,288000,107000,3.50,1008000,2015
"KY",5000,46,230000,55000,4.04,929000,2015
"LA",44000,99,4356000,348000,1.95,8494000,2015
"ME",10000,47,470000,47000,5.43,2552000,2015
"MI",90000,58,5220000,1984000,2.44,12737000,2015
"MN",122000,68,8296000,2157000,1.84,15265000,2015
"MS",15000,83,1245000,87000,2.40,2988000,2015
"MO",10000,52,520000,52000,3.55,1846000,2015
"MT",146000,83,12118000,3757000,1.94,23509000,2015
"NE",57000,48,2736000,1450000,2.04,5581000,2015
"NJ",12000,27,324000,207000,4.20,1361000,2015
"NY",58000,62,3596000,899000,2.94,10572000,2015
"NC",12000,45,540000,103000,4.51,2435000,2015
"ND",490000,74,36260000,9428000,1.80,65268000,2015
"OH",17000,50,850000,357000,3.60,3060000,2015
"OR",71000,38,2698000,809000,2.43,6556000,2015
"PA",17000,53,901000,225000,3.62,3262000,2015
"SC",14000,67,938000,38000,4.10,3846000,2015
"SD",290000,66,19140000,9379000,1.79,34261000,2015
"TN",7000,59,413000,78000,4.04,1669000,2015
"TX",126000,66,8316000,1164000,2.10,17464000,2015
"UT",27000,42,1134000,147000,1.92,2177000,2015
"VT",5000,52,260000,62000,4.23,1100000,2015
"VA",6000,38,228000,50000,5.53,1261000,2015
"WA",73000,44,3212000,1221000,1.80,5782000,2015
"WV",5000,35,175000,32000,4.44,777000,2015
"WI",52000,67,3484000,1603000,2.43,8466000,2015
"WY",38000,77,2926000,146000,1.90,5559000,2015
"AL",7000,52,364000,33000,3.37,1227000,2016
"AZ",27000,46,1242000,261000,1.99,2472000,2016
"AR",24000,69,1656000,99000,1.84,3047000,2016
